date,DAT,treatment,tunnel,plant ID,crown no.,leaf no.,inflorescence no.,fruit no.,plant_FW (g),plant_DW (g),shoots_DW (g),leaf_DW (g),leaf_area (cm2),leaf_area (m2),SLA (m2 g-1),,,notes
27/03/2025,3,shaded,S1,1,3,3.7,,,,,,,,,,,,
27/03/2025,3,shaded,S1,2,1,5,,,,,,,,,,,,
27/03/2025,3,shaded,S1,3,3,5.3,,,,,,,,,,,,
27/03/2025,3,shaded,S1,4,3,3,,,,,,,,,,,,
27/03/2025,3,shaded,S1,5,2,5,,,,,,,,,,,,
27/03/2025,3,shaded,S2,1,4,2,,,,,,,,,,,,
27/03/2025,3,shaded,S2,2,2,2.5,,,,,,,,,,,,
27/03/2025,3,shaded,S2,3,3,4.7,,,,,,,,,,,,
27/03/2025,3,shaded,S2,4,3,4,,,,,,,,,,,,
27/03/2025,3,shaded,S2,5,1,9,,,,,,,,,,,,
27/03/2025,3,shaded,S3,1,2,7.5,,,,,,,,,,,,
27/03/2025,3,shaded,S3,2,2,5,,,,,,,,,,,,
27/03/2025,3,shaded,S3,3,3,5.3,,,,,,,,,,,,
27/03/2025,3,shaded,S3,4,3,3.7,,,,,,,,,,,,
27/03/2025,3,shaded,S3,5,3,4,,,,,,,,,,,,
27/03/2025,3,control,C1,1,3,6,,,,,,,,,,,,
27/03/2025,3,control,C1,2,4,3.5,,,,,,,,,,,,
27/03/2025,3,control,C1,3,4,5,,,,,,,,,,,,
27/03/2025,3,control,C1,4,3,4,,,,,,,,,,,,
27/03/2025,3,control,C1,5,3,3.7,,,,,,,,,,,,
27/03/2025,3,control,C2,1,3,5,,,,,,,,,,,,
27/03/2025,3,control,C2,2,3,3.3,,,,,,,,,,,,
27/03/2025,3,control,C2,3,4,3.3,,,,,,,,,,,,
27/03/2025,3,control,C2,4,7,2.9,,,,,,,,,,,,
27/03/2025,3,control,C2,5,4,2.8,,,,,,,,,,,,
27/03/2025,3,control,C3,1,3,3.7,,,,,,,,,,,,
27/03/2025,3,control,C3,2,4,4,,,,,,,,,,,,
27/03/2025,3,control,C3,3,6,2.2,,,,,,,,,,,,
27/03/2025,3,control,C3,4,3,4.3,,,,,,,,,,,,
27/03/2025,3,control,C3,5,3,3,,,,,,,,,,,,
10/04/2025,17,shaded,S1,1,3,4.7,,,,,,,,,,,,
10/04/2025,17,shaded,S1,2,1,8,,,,,,,,,,,,
10/04/2025,17,shaded,S1,3,3,9.7,,,,,,,,,,,,
10/04/2025,17,shaded,S1,4,3,4,,,,,,,,,,,,
10/04/2025,17,shaded,S1,5,2,5,,,,,,,,,,,,
10/04/2025,17,shaded,S2,1,4,3,,,,,,,,,,,,
10/04/2025,17,shaded,S2,2,2,3.5,,,,,,,,,,,,
10/04/2025,17,shaded,S2,3,3,7,,,,,,,,,,,,
10/04/2025,17,shaded,S2,4,3,5.3,,,,,,,,,,,,
10/04/2025,17,shaded,S2,5,1,12,,,,,,,,,,,,
10/04/2025,17,shaded,S3,1,2,8,,,,,,,,,,,,
10/04/2025,17,shaded,S3,2,2,7,,,,,,,,,,,,
10/04/2025,17,shaded,S3,3,3,7.3,,,,,,,,,,,,
10/04/2025,17,shaded,S3,4,3,5.7,,,,,,,,,,,,
10/04/2025,17,shaded,S3,5,3,5.3,,,,,,,,,,,,
10/04/2025,17,control,C1,1,3,8,,,,,,,,,,,,
10/04/2025,17,control,C1,2,4,5.5,,,,,,,,,,,,
10/04/2025,17,control,C1,3,4,5.8,,,,,,,,,,,,
10/04/2025,17,control,C1,4,3,6,,,,,,,,,,,,
10/04/2025,17,control,C1,5,3,5.3,,,,,,,,,,,,
10/04/2025,17,control,C2,1,3,7.3,,,,,,,,,,,,
10/04/2025,17,control,C2,2,3,6.3,,,,,,,,,,,,
10/04/2025,17,control,C2,3,4,5.3,,,,,,,,,,,,
10/04/2025,17,control,C2,4,7,4,,,,,,,,,,,,
10/04/2025,17,control,C2,5,4,4.5,,,,,,,,,,,,
10/04/2025,17,control,C3,1,3,5.3,,,,,,,,,,,,
10/04/2025,17,control,C3,2,4,5,,,,,,,,,,,,
10/04/2025,17,control,C3,3,6,3.7,,,,,,,,,,,,
10/04/2025,17,control,C3,4,3,6.7,,,,,,,,,,,,
10/04/2025,17,control,C3,5,3,4,,,,,,,,,,,,
23/04/2025,30,shaded,S1,1,3,7,1,0,,,,,,,,,,
23/04/2025,30,shaded,S1,2,1,14,2,0,,,,,,,,,,
23/04/2025,30,shaded,S1,3,3,13.3,3.3,0,,,,,,,,,,
23/04/2025,30,shaded,S1,4,3,7.7,1.3,0,,,,,,,,,,
23/04/2025,30,shaded,S1,5,2,9.5,1.5,0,,,,,,,,,,
23/04/2025,30,shaded,S2,1,4,5.3,1.3,0,,,,,,,,,,
23/04/2025,30,shaded,S2,2,2,7,1,0,,,,,,,,,,
23/04/2025,30,shaded,S2,3,3,8.7,1.3,0,,,,,,,,,,
23/04/2025,30,shaded,S2,4,3,9.3,2.3,0,,,,,,,,,,
23/04/2025,30,shaded,S2,5,1,17,2,0,,,,,,,,,,
23/04/2025,30,shaded,S3,1,2,12,4.5,0,,,,,,,,,,
23/04/2025,30,shaded,S3,2,2,8.5,1.5,0,,,,,,,,,,
23/04/2025,30,shaded,S3,3,3,9.3,1.7,0,,,,,,,,,,
23/04/2025,30,shaded,S3,4,3,7.3,1.3,0,,,,,,,,,,
23/04/2025,30,shaded,S3,5,3,8,1,0,,,,,,,,,,
23/04/2025,30,control,C1,1,3,9.7,2.7,0,,,,,,,,,,
23/04/2025,30,control,C1,2,4,7,1.3,0,,,,,,,,,,
23/04/2025,30,control,C1,3,4,8,2,0,,,,,,,,,,
23/04/2025,30,control,C1,4,3,7.3,1.7,0,,,,,,,,,,
23/04/2025,30,control,C1,5,3,7.7,1,0,,,,,,,,,,
23/04/2025,30,control,C2,1,3,11.3,2.3,0,,,,,,,,,,
23/04/2025,30,control,C2,2,3,8.7,1.7,0,,,,,,,,,,
23/04/2025,30,control,C2,3,4,6.3,1.3,0,,,,,,,,,,
23/04/2025,30,control,C2,4,7,4.6,1,0,,,,,,,,,,
23/04/2025,30,control,C2,5,4,6.8,1.5,0,,,,,,,,,,
23/04/2025,30,control,C3,1,3,7.3,1.7,0,,,,,,,,,,
23/04/2025,30,control,C3,2,4,5.3,1.8,0,,,,,,,,,,
23/04/2025,30,control,C3,3,6,4,1.3,0,,,,,,,,,,
23/04/2025,30,control,C3,4,3,7.7,1.3,0,,,,,,,,,,
23/04/2025,30,control,C3,5,3,7,1,0,,,,,,,,,,
30/04/2025,37,shaded,S1,1,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S1,2,1,,,,,,,,,,,,,
30/04/2025,37,shaded,S1,3,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S1,4,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S1,5,2,,,,,,,,,,,,,
30/04/2025,37,shaded,S2,1,4,,,,,,,,,,,,,
30/04/2025,37,shaded,S2,2,2,,,,,,,,,,,,,
30/04/2025,37,shaded,S2,3,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S2,4,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S2,5,1,,,,,,,,,,,,,
30/04/2025,37,shaded,S3,1,2,,,,,,,,,,,,,
30/04/2025,37,shaded,S3,2,2,,,,,,,,,,,,,
30/04/2025,37,shaded,S3,3,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S3,4,3,,,,,,,,,,,,,
30/04/2025,37,shaded,S3,5,3,,,,,,,,,,,,,
30/04/2025,37,control,C1,1,3,,,,,,,,,,,,,
30/04/2025,37,control,C1,2,4,,,,,,,,,,,,,
30/04/2025,37,control,C1,3,4,,,,,,,,,,,,,
30/04/2025,37,control,C1,4,3,,,,,,,,,,,,,
30/04/2025,37,control,C1,5,3,,,,,,,,,,,,,
30/04/2025,37,control,C2,1,3,,,,,,,,,,,,,
30/04/2025,37,control,C2,2,3,,,,,,,,,,,,,
30/04/2025,37,control,C2,3,4,,,,,,,,,,,,,
30/04/2025,37,control,C2,4,7,,,,,,,,,,,,,
30/04/2025,37,control,C2,5,4,,,,,,,,,,,,,
30/04/2025,37,control,C3,1,3,,,,,,,,,,,,,
30/04/2025,37,control,C3,2,4,,,,,,,,,,,,,
30/04/2025,37,control,C3,3,6,,,,,,,,,,,,,
30/04/2025,37,control,C3,4,3,,,,,,,,,,,,,
30/04/2025,37,control,C3,5,3,,,,,,,,,,,,,
08/05/2025,45,shaded,S1,1,3,6.7,2.7,6.3,,,,,,,,,,
08/05/2025,45,shaded,S1,2,1,16,3,13,,,,,,,,,,
08/05/2025,45,shaded,S1,3,3,18.7,4,12,,,,,,,,,,
08/05/2025,45,shaded,S1,4,3,9.3,2,7.3,,,,,,,,,,
08/05/2025,45,shaded,S1,5,2,9.5,2,10,,,,,,,,,,
08/05/2025,45,shaded,S2,1,4,5.5,1.5,4.3,,,,,,,,,,
08/05/2025,45,shaded,S2,2,2,7.5,1.5,6,,,,,,,,,,
08/05/2025,45,shaded,S2,3,3,8,3.3,7,,,,,,,,,,
08/05/2025,45,shaded,S2,4,3,12,2.7,11.3,,,,,,,,,,
08/05/2025,45,shaded,S2,5,1,20,7,15,,,,,,,,,,
08/05/2025,45,shaded,S3,1,2,15,4,9,,,,,,,,,,
08/05/2025,45,shaded,S3,2,2,10,3.5,9.5,,,,,,,,,,
08/05/2025,45,shaded,S3,3,3,12.3,4.3,12,,,,,,,,,,
08/05/2025,45,shaded,S3,4,3,6.3,3,8,,,,,,,,,,
