date,DAH,treatment,tunnel ,firmness (kg),ln_firmness (kg),log10_firmness (kg),sqrt_firmness (kg)
21/05/2025,0,control,,0.551,-0.6,-0.26,0.74
21/05/2025,0,control,,0.528,-0.64,-0.28,0.73
21/05/2025,0,control,,0.506,-0.68,-0.3,0.71
21/05/2025,0,control,,0.448,-0.8,-0.35,0.67
21/05/2025,0,control,,0.862,-0.15,-0.06,0.93
21/05/2025,0,control,,0.557,-0.59,-0.25,0.75
21/05/2025,0,control,,0.6,-0.51,-0.22,0.77
21/05/2025,0,control,,0.486,-0.72,-0.31,0.7
21/05/2025,0,control,,0.7,-0.36,-0.15,0.84
21/05/2025,0,control,,0.454,-0.79,-0.34,0.67
21/05/2025,0,control,,0.517,-0.66,-0.29,0.72
21/05/2025,0,control,,0.584,-0.54,-0.23,0.76
21/05/2025,0,control,,0.536,-0.62,-0.27,0.73
21/05/2025,0,control,,0.596,-0.52,-0.22,0.77
21/05/2025,0,control,,0.454,-0.79,-0.34,0.67
21/05/2025,0,control,,0.508,-0.68,-0.29,0.71
21/05/2025,0,control,,0.496,-0.7,-0.3,0.7
21/05/2025,0,control,,0.586,-0.53,-0.23,0.77
21/05/2025,0,control,,0.621,-0.48,-0.21,0.79
21/05/2025,0,control,,0.443,-0.81,-0.35,0.67
21/05/2025,0,control,,0.48,-0.73,-0.32,0.69
21/05/2025,0,control,,0.516,-0.66,-0.29,0.72
21/05/2025,0,control,,0.534,-0.63,-0.27,0.73
21/05/2025,0,control,,0.517,-0.66,-0.29,0.72
21/05/2025,0,control,,0.584,-0.54,-0.23,0.76
21/05/2025,0,control,,0.461,-0.77,-0.34,0.68
21/05/2025,0,control,,0.47,-0.76,-0.33,0.69
21/05/2025,0,control,,0.531,-0.63,-0.27,0.73
21/05/2025,0,control,,0.467,-0.76,-0.33,0.68
21/05/2025,0,control,,0.508,-0.68,-0.29,0.71
21/05/2025,0,control,,0.54,-0.62,-0.27,0.73
21/05/2025,0,control,,0.469,-0.76,-0.33,0.68
21/05/2025,0,control,,0.54,-0.62,-0.27,0.73
21/05/2025,0,control,,0.356,-1.03,-0.45,0.6
21/05/2025,0,control,,0.613,-0.49,-0.21,0.78
21/05/2025,0,control,,0.486,-0.72,-0.31,0.7
21/05/2025,0,control,,0.544,-0.61,-0.26,0.74
21/05/2025,0,control,,0.526,-0.64,-0.28,0.73
21/05/2025,0,control,,0.493,-0.71,-0.31,0.7
