date,DAT,treatment,tunnel,plant ID,crown no.,vampiri no.,leaf no.,inflorescence no.,flower no.,fruit no.,petiole length mean (cm),plant_FW (g),plant_DW (g),DW/FW_plant,shoots_DW (g),leaf_DW (g),leaf_area (cm2),leaf_area (m2),SLA (m2 g-1),,notes,,
27/03/2025,3,shaded,S1,1,3,1,11,,,,8.055555556,,,,,,,,,,,,
27/03/2025,3,shaded,S1,2,1,1,5,,,,9.26,,,,,,,,,,,,
27/03/2025,3,shaded,S1,3,3,6,16,,,,8.621428571,,,,,,,,,,,,
27/03/2025,3,shaded,S1,4,3,1,9,,,,5.788888889,,,,,,,,,,,,
27/03/2025,3,shaded,S1,5,2,1,10,,,,6.91,,,,,,,,,,,,
27/03/2025,3,shaded,S2,1,4,0,8,,,,7.744444444,,,,,,,,,,,,
27/03/2025,3,shaded,S2,2,2,0,5,,,,9.2,,,,,,,,,,,,
27/03/2025,3,shaded,S2,3,3,2,14,,,,8.258333333,,,,,,,,,,,,
27/03/2025,3,shaded,S2,4,3,2,12,,,,8.8,,,,,,,,,,,,
27/03/2025,3,shaded,S2,5,1,1,9,,,,6.625,,,,,,,,,,,,
27/03/2025,3,shaded,S3,1,2,4,15,,,,8.309090909,,,,,,,,,,,,
27/03/2025,3,shaded,S3,2,2,0,10,,,,8.65,,,,,,,,,,,,
27/03/2025,3,shaded,S3,3,3,4,16,,,,9.96,,,,,,,,,,,,
27/03/2025,3,shaded,S3,4,3,1,11,,,,8.2,,,,,,,,,,,,
27/03/2025,3,shaded,S3,5,3,0,12,,,,7.454545455,,,,,,,,,,,,
27/03/2025,3,control,C1,1,3,4,18,,,,10.65714286,,,,,,,,,,,,
27/03/2025,3,control,C1,2,4,2,14,,,,9.783333333,,,,,,,,,,,,
27/03/2025,3,control,C1,3,4,4,20,,,,7.7,,,,,,,,,,,,
27/03/2025,3,control,C1,4,3,2,12,,,,9.225,,,,,,,,,,,,
27/03/2025,3,control,C1,5,3,1,11,,,,9.554545455,,,,,,,,,,,,
27/03/2025,3,control,C2,1,3,3,15,,,,9.208333333,,,,,,,,,,,,
27/03/2025,3,control,C2,2,3,2,10,,,,10,,,,,,,,,,,,
27/03/2025,3,control,C2,3,4,0,13,,,,10.425,,,,,,,,,,,,
27/03/2025,3,control,C2,4,7,0,20,,,,8.733333333,,,,,,,,,,,,
27/03/2025,3,control,C2,5,4,1,11,,,,8.04,,,,,,,,,,,,
27/03/2025,3,control,C3,1,3,0,11,,,,10.25,,,,,,,,,,,,
27/03/2025,3,control,C3,2,4,3,16,,,,11.47692308,,,,,,,,,,,,
27/03/2025,3,control,C3,3,6,0,13,,,,10.39333333,,,,,,,,,,,,
27/03/2025,3,control,C3,4,3,1,13,,,,9.084615385,,,,,,,,,,,,
27/03/2025,3,control,C3,5,3,0,9,,,,8.511111111,,,,,,,,,,,,
10/04/2025,17,shaded,S1,1,,,14,,,,12.32857143,,,,,,,,,,,,
10/04/2025,17,shaded,S1,2,,,8,,,,16.19090909,,,,,,,,,,,,
10/04/2025,17,shaded,S1,3,,,29,,,,15.8047619,,,,,,,,,,,,
10/04/2025,17,shaded,S1,4,,,12,,,,14.75,,,,,,,,,,,,
10/04/2025,17,shaded,S1,5,,,10,,,,13.95555556,,,,,,,,,,,,
10/04/2025,17,shaded,S2,1,,,12,,,,15.175,,,,,,,,,,,,
