date,DAH,treatment,tunnel,fruit_weight (g),fruit no.,fruit no. plant,cumulative_fruit no,yield_5bags (g),yield_plant (g),yield_tunnel (kg),cumulative_plant_yield (g)
23/05/2025,3,control,C1,34.08,30,1,1,1022.3,34.08,40.89,34.08
23/05/2025,3,control,C2,33.68,44,1.466666667,1.466666667,1481.7,49.39,59.27,49.39
23/05/2025,3,control,C3,38.99,43,1.433333333,1.433333333,1676.4,55.88,67.06,55.88
23/05/2025,3,shaded,S1,34.77,27,0.9,0.9,938.9,31.3,37.56,31.3
23/05/2025,3,shaded,S2,41.14,27,0.9,0.9,1110.8,37.03,44.43,37.03
23/05/2025,3,shaded,S3,42.36,20,0.666666667,0.666666667,847.1,28.24,33.88,28.24
27/05/2025,7,control,C1,27.17,78,2.6,3.6,2119.5,70.65,84.78,104.73
27/05/2025,7,control,C2,26.78,82,2.733333333,4.2,2196,73.2,87.84,122.59
27/05/2025,7,control,C3,27.4,80,2.666666667,4.1,2191.9,73.06,87.68,128.94
27/05/2025,7,shaded,S1,32.64,70,2.333333333,3.233333333,2284.7,76.16,91.39,107.45
27/05/2025,7,shaded,S2,31.07,64,2.133333333,3.033333333,1988.4,66.28,79.54,103.31
27/05/2025,7,shaded,S3,34.21,51,1.7,2.366666667,1744.6,58.15,69.78,86.39
30/05/2025,10,control,C1,17.61,49,1.633333333,5.233333333,862.9,28.76,34.52,133.49
30/05/2025,10,control,C2,17.75,29,0.966666667,5.166666667,514.7,17.16,20.59,139.75
30/05/2025,10,control,C3,18.82,33,1.1,5.2,621.2,20.71,24.85,149.65
30/05/2025,10,shaded,S1,20.72,43,1.433333333,4.666666666,891,29.7,35.64,137.15
30/05/2025,10,shaded,S2,19.73,36,1.2,4.233333333,710.4,23.68,28.42,126.99
30/05/2025,10,shaded,S3,23.72,37,1.233333333,3.6,877.6,29.25,35.1,115.64
03/06/2025,14,control,C1,14.27,88,2.933333333,8.166666666,1255.99,41.87,50.24,175.36
03/06/2025,14,control,C2,13.61,96,3.2,8.366666667,1306.58,43.55,52.26,183.3
03/06/2025,14,control,C3,12.92,80,2.666666667,7.866666667,1033.84,34.46,41.35,184.11
03/06/2025,14,shaded,S1,14.78,130,4.333333333,8.999999999,1920.78,64.03,76.83,201.18
03/06/2025,14,shaded,S2,14.39,104,3.466666667,7.7,1496.13,49.87,59.85,176.86
03/06/2025,14,shaded,S3,14.58,88,2.933333333,6.533333333,1283.27,42.78,51.33,158.42
06/06/2025,17,control,C1,12.67,125,4.166666667,12.33333333,1583.99,52.8,63.36,228.16
06/06/2025,17,control,C2,13.59,119,3.966666667,12.33333333,1617.78,53.93,64.71,237.23
06/06/2025,17,control,C3,12.6,74,2.466666667,10.33333333,932.72,31.09,37.31,215.2
06/06/2025,17,shaded,S1,12.58,43,1.433333333,10.43333333,541.03,18.03,21.64,219.21
06/06/2025,17,shaded,S2,15.99,74,2.466666667,10.16666667,1183.16,39.44,47.33,216.3
06/06/2025,17,shaded,S3,14.79,46,1.533333333,8.066666666,680.29,22.68,27.21,181.1
10/06/2025,21,control,C1,11.7,173,5.766666667,18.1,2023.61,67.45,80.94,295.61
10/06/2025,21,control,C2,12.57,189,6.3,18.63333333,2374.93,79.16,95,316.39
10/06/2025,21,control,C3,12.23,165,5.5,15.83333333,2018.59,67.29,80.74,282.49
10/06/2025,21,shaded,S1,11.57,158,5.266666667,15.7,1828.81,60.96,73.15,280.17
10/06/2025,21,shaded,S2,14.38,175,5.833333333,16,2516.49,83.88,100.66,300.18
10/06/2025,21,shaded,S3,14.23,156,5.2,13.26666667,2219.63,73.99,88.79,255.08
13/06/2025,24,control,C1,8.06,77,2.566666667,20.66666667,620.88,20.7,24.84,316.31
13/06/2025,24,control,C2,9,123,4.1,22.73333333,1106.61,36.89,44.26,353.28
13/06/2025,24,control,C3,8.2,89,2.966666667,18.8,729.43,24.31,29.18,306.8
13/06/2025,24,shaded,S1,11.23,64,2.133333333,17.83333333,718.8,23.96,28.75,304.13
13/06/2025,24,shaded,S2,10.9,91,3.033333333,19.03333333,991.47,33.05,39.66,333.23
13/06/2025,24,shaded,S3,10.8,119,3.966666667,17.23333333,1285.55,42.85,51.42,297.93
16/06/2025,27,control,C1,6.93,61,2.033333333,22.7,422.94,14.1,16.92,330.4
16/06/2025,27,control,C2,6.67,61,2.033333333,24.76666667,406.9,13.56,16.28,366.84
16/06/2025,27,control,C3,6.76,74,2.466666667,21.26666667,500.04,16.67,20,323.47
16/06/2025,27,shaded,S1,9.39,69,2.3,20.13333333,648.2,21.61,25.93,325.74
16/06/2025,27,shaded,S2,7.75,65,2.166666667,21.2,504.04,16.8,20.16,350.03
16/06/2025,27,shaded,S3,6.92,86,2.866666667,20.1,595.47,19.85,23.82,317.78
